Timestamp,ID(Hex),ID(Dec),Data,Message Name,Decoded Signals
2025-06-07 18:30:28.671,6,6,00 00 83 00 53 01 00 00,Internal_States,Error decoding message: 6
2025-06-07 18:30:28.672,B0,176,00 00 FC FF 00 00 04 00,M176_Fast_Info,Error decoding message: 176
2025-06-07 18:30:28.673,C0,192,00 00 00 00 01 00 00 00,M192_Command_Message,Error decoding message: 192
2025-06-07 18:30:28.674,4,4,FC 0F 58 0A 00 00 00 00,APPS_Info,Error decoding message: 4
2025-06-07 18:30:28.675,5,5,A1 01 00 00 00 06 00 00,Sensors_Info,Error decoding message: 5
2025-06-07 18:30:28.676,B0,176,00 00 02 00 00 00 02 00,M176_Fast_Info,Error decoding message: 176
2025-06-07 18:30:28.677,6,6,00 00 83 00 53 01 00 00,Internal_States,Error decoding message: 6
2025-06-07 18:30:28.678,3,3,00 00 00 00 00 00 00 00,MC_FAULTS,Error decoding message: 3
2025-06-07 18:30:28.679,B0,176,00 00 F9 FF 00 00 02 00,M176_Fast_Info,Error decoding message: 176
2025-06-07 18:30:28.680,C0,192,00 00 00 00 01 00 00 00,M192_Command_Message,Error decoding message: 192
2025-06-07 18:30:28.681,4,4,FD 0F 58 0A 00 00 00 00,APPS_Info,Error decoding message: 4
2025-06-07 18:30:28.683,2,2,00 00 00 00 00 00 00 00,ECU_FAULTS,Error decoding message: 2
2025-06-07 18:30:28.684,B0,176,00 00 00 00 00 00 04 00,M176_Fast_Info,Error decoding message: 176
2025-06-07 18:30:28.685,C0,192,00 00 00 00 01 00 00 00,M192_Command_Message,Error decoding message: 192
2025-06-07 18:30:28.686,4,4,FD 0F 58 0A 00 00 00 00,APPS_Info,Error decoding message: 4
2025-06-07 18:30:28.688,5,5,A1 01 00 00 00 06 00 00,Sensors_Info,Error decoding message: 5
2025-06-07 18:30:28.689,6,6,00 00 83 00 53 01 00 00,Internal_States,Error decoding message: 6
2025-06-07 18:30:28.691,2,2,00 00 00 00 00 00 00 00,ECU_FAULTS,Error decoding message: 2
2025-06-07 18:30:28.692,B0,176,00 00 02 00 00 00 02 00,M176_Fast_Info,Error decoding message: 176
