Timestamp,ID(Hex),ID(Dec),Data,Message Name,Decoded Signals
2025-06-07 18:20:56.429,B0,176,00 00 01 00 00 00 03 00,Unknown,Unknown message (ID: Decimal=176, Hex=0xB0)
2025-06-07 18:20:56.430,AB,171,00 00 00 00 00 00 00 00,Unknown,Unknown message (ID: Decimal=171, Hex=0xAB)
2025-06-07 18:20:56.431,A6,166,0A 00 FF FF 08 00 00 00,Unknown,Unknown message (ID: Decimal=166, Hex=0xA6)
2025-06-07 18:20:56.432,C0,192,00 00 00 00 01 00 00 00,Unknown,Unknown message (ID: Decimal=192, Hex=0xC0)
2025-06-07 18:20:56.433,4,4,FD 0F 58 0A 00 00 00 00,Unknown,Unknown message (ID: Decimal=4, Hex=0x4)
2025-06-07 18:20:56.434,5,5,A1 01 00 00 00 06 00 00,Unknown,Unknown message (ID: Decimal=5, Hex=0x5)
2025-06-07 18:20:56.434,6,6,00 00 83 00 53 01 00 00,Unknown,Unknown message (ID: Decimal=6, Hex=0x6)
2025-06-07 18:20:56.435,2,2,00 00 00 00 00 00 00 00,Unknown,Unknown message (ID: Decimal=2, Hex=0x2)
2025-06-07 18:20:56.436,3,3,00 00 00 00 00 00 00 00,Unknown,Unknown message (ID: Decimal=3, Hex=0x3)
2025-06-07 18:20:56.437,B0,176,00 00 00 00 00 00 03 00,Unknown,Unknown message (ID: Decimal=176, Hex=0xB0)
2025-06-07 18:20:56.438,C0,192,00 00 00 00 01 00 00 00,Unknown,Unknown message (ID: Decimal=192, Hex=0xC0)
2025-06-07 18:20:56.438,4,4,FD 0F 58 0A 00 00 00 00,Unknown,Unknown message (ID: Decimal=4, Hex=0x4)
2025-06-07 18:20:56.439,B0,176,00 00 00 00 00 00 05 00,Unknown,Unknown message (ID: Decimal=176, Hex=0xB0)
2025-06-07 18:20:56.441,5,5,A1 01 00 00 00 06 00 00,Unknown,Unknown message (ID: Decimal=5, Hex=0x5)
2025-06-07 18:20:56.442,6,6,00 00 83 00 53 01 00 00,Unknown,Unknown message (ID: Decimal=6, Hex=0x6)
