Timestamp,ID(Hex),ID(Dec),Data,Message Name,Decoded Signals
2025-06-07 18:33:11.065,C0,192,00 00 00 00 01 00 00 00,M192_Command_Message,Raw data: 00 00 00 00 01 00 00 00
2025-06-07 18:33:11.066,4,4,FD 0F 59 0A 00 00 00 00,APPS_Info,Raw data: FD 0F 59 0A 00 00 00 00
2025-06-07 18:33:11.067,5,5,A2 01 00 00 00 06 00 00,Sensors_Info,Raw data: A2 01 00 00 00 06 00 00
2025-06-07 18:33:11.068,6,6,00 00 83 00 53 01 00 00,Internal_States,Raw data: 00 00 83 00 53 01 00 00
2025-06-07 18:33:11.069,2,2,00 00 00 00 00 00 00 00,ECU_FAULTS,Raw data: 00 00 00 00 00 00 00 00
2025-06-07 18:33:11.071,3,3,00 00 00 00 00 00 00 00,MC_FAULTS,Raw data: 00 00 00 00 00 00 00 00
2025-06-07 18:33:11.072,B0,176,00 00 FD FF 00 00 01 00,M176_Fast_Info,Raw data: 00 00 FD FF 00 00 01 00
2025-06-07 18:33:11.073,C0,192,00 00 00 00 01 00 00 00,M192_Command_Message,Raw data: 00 00 00 00 01 00 00 00
2025-06-07 18:33:11.075,4,4,FD 0F 59 0A 00 00 00 00,APPS_Info,Raw data: FD 0F 59 0A 00 00 00 00
2025-06-07 18:33:11.076,B0,176,00 00 01 00 00 00 04 00,M176_Fast_Info,Raw data: 00 00 01 00 00 00 04 00
2025-06-07 18:33:11.077,5,5,A2 01 00 00 00 06 00 00,Sensors_Info,Raw data: A2 01 00 00 00 06 00 00
2025-06-07 18:33:11.078,6,6,00 00 83 00 53 01 00 00,Internal_States,Raw data: 00 00 83 00 53 01 00 00
2025-06-07 18:33:11.079,2,2,00 00 00 00 00 00 00 00,ECU_FAULTS,Raw data: 00 00 00 00 00 00 00 00
2025-06-07 18:33:11.081,3,3,00 00 00 00 00 00 00 00,MC_FAULTS,Raw data: 00 00 00 00 00 00 00 00
2025-06-07 18:33:11.083,B0,176,00 00 FE FF 00 00 00 00,M176_Fast_Info,Raw data: 00 00 FE FF 00 00 00 00
2025-06-07 18:33:11.084,AB,171,00 00 00 00 00 00 00 00,M171_Fault_Codes,Raw data: 00 00 00 00 00 00 00 00
2025-06-07 18:33:11.085,A6,166,F9 FF 00 00 FC FF 00 00,M166_Current_Info,Raw data: F9 FF 00 00 FC FF 00 00
2025-06-07 18:33:11.086,C0,192,00 00 00 00 01 00 00 00,M192_Command_Message,Raw data: 00 00 00 00 01 00 00 00
2025-06-07 18:33:11.087,4,4,FD 0F 58 0A 00 00 00 00,APPS_Info,Raw data: FD 0F 58 0A 00 00 00 00
2025-06-07 18:33:11.088,5,5,A2 01 00 00 00 06 00 00,Sensors_Info,Raw data: A2 01 00 00 00 06 00 00
2025-06-07 18:33:11.089,6,6,00 00 83 00 53 01 00 00,Internal_States,Raw data: 00 00 83 00 53 01 00 00
2025-06-07 18:33:11.090,2,2,00 00 00 00 00 00 00 00,ECU_FAULTS,Raw data: 00 00 00 00 00 00 00 00
2025-06-07 18:33:11.091,3,3,00 00 00 00 00 00 00 00,MC_FAULTS,Raw data: 00 00 00 00 00 00 00 00
2025-06-07 18:33:11.092,B0,176,00 00 FB FF 00 00 02 00,M176_Fast_Info,Raw data: 00 00 FB FF 00 00 02 00
2025-06-07 18:33:11.093,B0,176,00 00 FB FF 00 00 03 00,M176_Fast_Info,Raw data: 00 00 FB FF 00 00 03 00
2025-06-07 18:33:11.094,C0,192,00 00 00 00 01 00 00 00,M192_Command_Message,Raw data: 00 00 00 00 01 00 00 00
2025-06-07 18:33:11.095,4,4,FD 0F 58 0A 00 00 00 00,APPS_Info,Raw data: FD 0F 58 0A 00 00 00 00
2025-06-07 18:33:11.096,5,5,A1 01 00 00 00 06 00 00,Sensors_Info,Raw data: A1 01 00 00 00 06 00 00
2025-06-07 18:33:11.097,6,6,00 00 83 00 53 01 00 00,Internal_States,Raw data: 00 00 83 00 53 01 00 00
2025-06-07 18:33:11.098,2,2,00 00 00 00 00 00 00 00,ECU_FAULTS,Raw data: 00 00 00 00 00 00 00 00
2025-06-07 18:33:11.099,3,3,00 00 00 00 00 00 00 00,MC_FAULTS,Raw data: 00 00 00 00 00 00 00 00
2025-06-07 18:33:11.101,B0,176,00 00 FA FF 00 00 01 00,M176_Fast_Info,Raw data: 00 00 FA FF 00 00 01 00
2025-06-07 18:33:11.102,C0,192,00 00 00 00 01 00 00 00,M192_Command_Message,Raw data: 00 00 00 00 01 00 00 00
2025-06-07 18:33:11.103,4,4,FD 0F 59 0A 00 00 00 00,APPS_Info,Raw data: FD 0F 59 0A 00 00 00 00
2025-06-07 18:33:11.104,B0,176,00 00 FF FF 00 00 00 00,M176_Fast_Info,Raw data: 00 00 FF FF 00 00 00 00
2025-06-07 18:33:11.105,5,5,A2 01 00 00 00 06 00 00,Sensors_Info,Raw data: A2 01 00 00 00 06 00 00
2025-06-07 18:33:11.106,6,6,00 00 83 00 53 01 00 00,Internal_States,Raw data: 00 00 83 00 53 01 00 00
2025-06-07 18:33:11.107,2,2,00 00 00 00 00 00 00 00,ECU_FAULTS,Raw data: 00 00 00 00 00 00 00 00
2025-06-07 18:33:11.108,3,3,00 00 00 00 00 00 00 00,MC_FAULTS,Raw data: 00 00 00 00 00 00 00 00
2025-06-07 18:33:11.109,AB,171,00 00 00 00 00 00 00 00,M171_Fault_Codes,Raw data: 00 00 00 00 00 00 00 00
2025-06-07 18:33:11.110,A6,166,F6 FF F8 FF FA FF 00 00,M166_Current_Info,Raw data: F6 FF F8 FF FA FF 00 00
2025-06-07 18:33:11.111,B0,176,00 00 FF FF 00 00 00 00,M176_Fast_Info,Raw data: 00 00 FF FF 00 00 00 00
2025-06-07 18:33:11.112,C0,192,00 00 00 00 01 00 00 00,M192_Command_Message,Raw data: 00 00 00 00 01 00 00 00
2025-06-07 18:33:11.113,4,4,FC 0F 58 0A 00 00 00 00,APPS_Info,Raw data: FC 0F 58 0A 00 00 00 00
2025-06-07 18:33:11.114,5,5,A2 01 00 00 00 06 00 00,Sensors_Info,Raw data: A2 01 00 00 00 06 00 00
2025-06-07 18:33:11.115,6,6,00 00 83 00 53 01 00 00,Internal_States,Raw data: 00 00 83 00 53 01 00 00
2025-06-07 18:33:11.116,2,2,00 00 00 00 00 00 00 00,ECU_FAULTS,Raw data: 00 00 00 00 00 00 00 00
2025-06-07 18:33:11.116,3,3,00 00 00 00 00 00 00 00,MC_FAULTS,Raw data: 00 00 00 00 00 00 00 00
2025-06-07 18:33:11.117,B0,176,00 00 02 00 00 00 06 00,M176_Fast_Info,Raw data: 00 00 02 00 00 00 06 00
2025-06-07 18:33:11.118,B0,176,00 00 FD FF 00 00 02 00,M176_Fast_Info,Raw data: 00 00 FD FF 00 00 02 00
2025-06-07 18:33:11.119,C0,192,00 00 00 00 01 00 00 00,M192_Command_Message,Raw data: 00 00 00 00 01 00 00 00
2025-06-07 18:33:11.120,4,4,FD 0F 58 0A 00 00 00 00,APPS_Info,Raw data: FD 0F 58 0A 00 00 00 00
2025-06-07 18:33:11.121,5,5,A1 01 00 00 00 06 00 00,Sensors_Info,Raw data: A1 01 00 00 00 06 00 00
2025-06-07 18:33:11.122,6,6,00 00 83 00 53 01 00 00,Internal_States,Raw data: 00 00 83 00 53 01 00 00
2025-06-07 18:33:11.122,2,2,00 00 00 00 00 00 00 00,ECU_FAULTS,Raw data: 00 00 00 00 00 00 00 00
2025-06-07 18:33:11.123,3,3,00 00 00 00 00 00 00 00,MC_FAULTS,Raw data: 00 00 00 00 00 00 00 00
2025-06-07 18:33:11.124,B0,176,00 00 00 00 00 00 01 00,M176_Fast_Info,Raw data: 00 00 00 00 00 00 01 00
2025-06-07 18:33:11.125,AB,171,00 00 00 00 00 00 00 00,M171_Fault_Codes,Raw data: 00 00 00 00 00 00 00 00
2025-06-07 18:33:11.126,A6,166,F9 FF FB FF FA FF 00 00,M166_Current_Info,Raw data: F9 FF FB FF FA FF 00 00
